name,telephone,image,street_address,city,state,postal_code,country,full_address,latitude,longitude,area_served,facebook,twitter,linkedin,website,houzz_profile,category
L Square Interiors Concept,099981 66665,https://st.hzcdn.com/simgs/74939d9c0a0d2dc5_0-2131/_.jpg,Vadodara Vadodara,Vadodara,Gujarat,,IN,"Vadodara Vadodara, Vadodara, Gujarat",22.2994,73.2081,500009,https://www.facebook.com/lsquareinteriorconcept/?ref=aymt_homepage_panel,,https://www.linkedin.com/in/laxman-suthar-a7a6ba163/#experience-section,,https://www.houzz.in/professionals/interior-designers-and-decorators/l-square-interiors-concept-pfvwin-pf~1420204549,interior-designers
Zee Interior,095341 52222,https://st.hzcdn.com/simgs/d17373ef0da44aec_0-0069/_.jpg,"1st floor, Grand Appartment,  New Dak Bunglow Rd, Patna, Bihar 800001 ",Patna,Bihar,800001,IN,"1st floor, Grand Appartment,  New Dak Bunglow Rd, Patna, Bihar 800001 , Patna, Bihar, 800001",25.6058,85.1285,500009,,,,,https://www.houzz.in/professionals/interior-designers-and-decorators/zee-interior-pfvwin-pf~565630755,interior-designers
The Line Studio,093794 86724,https://st.hzcdn.com/simgs/0c13fe970e427135_0-9652/_.jpg,"46/1, 5th Floor Cobalt Building, Church Street",Bengaluru,Karnataka,560001,IN,"46/1, 5th Floor Cobalt Building, Church Street, Bengaluru, Karnataka, 560001",,,500009,,https://twitter.com/TheLineStudio1,https://www.linkedin.com/company/the-linestudio/?viewAsMember=true,,https://www.houzz.in/hznb/professionals/interior-designers-and-decorators/the-line-studio-pfvwus-pf~1511272838,interior-designers
Anisha Chandy Design Studio,095660 82557,https://st.hzcdn.com/simgs/45932836024c4869_0-2316/_.jpg,"26, Hosur Rd, Richmond Town, Bengaluru, Karnataka 560025 ",Bengaluru,Karnataka,560025,IN,"26, Hosur Rd, Richmond Town, Bengaluru, Karnataka 560025 , Bengaluru, Karnataka, 560025",12.9621,77.6073,500009,,,https://www.linkedin.com/in/anisha-sarah/,https://www.instagram.com/anishachandystudio,https://www.houzz.in/professionals/interior-designers-and-decorators/anisha-chandy-design-studio-pfvwin-pf~1640246507,interior-designers
Bauhaus Spaces,080850 10847,https://st.hzcdn.com/simgs/9e23315b0f49e85e_0-8324/_.jpg,"E-22,The Parkland Balewadi",Pune,Maharashtra,411045,IN,"E-22,The Parkland Balewadi, Pune, Maharashtra, 411045",18.5671,73.7685,500009,https://www.facebook.com/Thebauhausdesigns,,,www.bauhauspaces.com,https://www.houzz.in/professionals/interior-designers-and-decorators/bauhaus-spaces-pfvwin-pf~473721569,interior-designers
Cornerstone Design Studio India,088848 51444,https://st.hzcdn.com/simgs/7f03d2100684debe_0-8351/_.jpg,"HLF Estates, Cave Temple Road Bannerghatta Road",Bangalore,,560076,IN,"HLF Estates, Cave Temple Road Bannerghatta Road, Bangalore, 560076",12.8856,77.598,500009,www.facebook.com/CSDSindia,https://twitter.com/CSDSindia,in.linkedin.com/in/csdsindia/,,https://www.houzz.in/professionals/interior-designers-and-decorators/cornerstone-design-studio-india-pfvwin-pf~1199826720,interior-designers
Aura Interiors Studio,083191 08885,https://st.hzcdn.com/simgs/940332ef0a62e6ca_0-7784/_.jpg, ,Raipur,Chhattisgarh,492001,IN," , Raipur, Chhattisgarh, 492001",21.2582,81.6294,500009,https://www.facebook.com/vraurainteriors/,,,,https://www.houzz.in/professionals/interior-designers-and-decorators/aura-interiors-studio-pfvwin-pf~1328327224,interior-designers
Plavi Design Studio,097414 91722,https://st.hzcdn.com/simgs/06a3efa30b0411c8_0-5595/_.jpg, ,Bengaluru,Karnataka,560100,IN," , Bengaluru, Karnataka, 560100",12.8442,77.6563,500009,,,,www.plavidesignstudio.com,https://www.houzz.in/hznb/professionals/interior-designers-and-decorators/plavi-design-studio-pfvwus-pf~1921529550,interior-designers
Inspiring Spaces,098454 69700,https://st.hzcdn.com/simgs/1e43a67705489338_0-6308/_.jpg, ,Bangalore,,560069,IN," , Bangalore, 560069",12.9189,77.5954,500009,,,,,https://www.houzz.in/hznb/professionals/interior-designers-and-decorators/inspiring-spaces-pfvwus-pf~277877207,interior-designers
Anthis Design,098336 92734,https://st.hzcdn.com/simgs/1c838a2d076441af_0-5103/_.jpg, ,Mumbai,Maharashtra,400076,IN," , Mumbai, Maharashtra, 400076",19.1244,72.9104,500009,https://www.facebook.com/anthisdesign/,,,www.anthisdesign.com/,https://www.houzz.in/hznb/professionals/interior-designers-and-decorators/anthis-design-pfvwus-pf~186563622,interior-designers
